Stock Name,Action,Entry Price,Target Profit,Stop Loss,Timeframe,Timestamp
ADANIPORTS,SELL,1174.0,11.9,8.9,15,2025-04-01 14:29:51.546978
BAJAJ-AUTO,BUY,7999.55,74.0,55.5,15,2025-04-01 14:30:01.004426
HCLTECH,SELL,1529.95,12.2,9.1,15,2025-04-01 14:45:21.434358
ICICIBANK,SELL,1318.45,9.2,6.9,15,2025-04-01 14:45:35.530581
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:45:51.609522
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:46:13.572344
UPL,BUY,1318.45,9.2,6.9,15,2025-04-01 14:46:34.326963
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:47:48.124822
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:48:08.666850
UPL,BUY,1318.45,9.2,6.9,15,2025-04-01 14:48:29.035174
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:49:44.429624
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:50:05.171093
UPL,BUY,1318.45,9.2,6.9,15,2025-04-01 14:50:25.852262
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:51:39.121951
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:51:59.439223
UPL,BUY,1318.45,9.2,6.9,15,2025-04-01 14:52:20.052365
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:53:33.857159
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:53:54.531094
UPL,BUY,1318.45,9.2,6.9,15,2025-04-01 14:54:15.233793
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:55:29.844085
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:55:50.538907
UPL,BUY,1318.45,9.2,6.9,15,2025-04-01 14:56:11.276315
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:57:25.545528
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:57:46.123348
UPL,BUY,1318.45,9.2,6.9,15,2025-04-01 14:58:06.721899
LT,SELL,1318.45,9.2,6.9,15,2025-04-01 14:59:20.830540
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 14:59:41.455750
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:15:05.786155
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:16:00.111472
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:17:02.752940
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:17:56.188509
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:25:31.470738
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:33:22.791753
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:34:31.549443
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:35:30.184056
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:36:38.571435
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:37:35.690945
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:38:46.298741
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:39:45.907239
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:40:55.614124
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:41:55.000782
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:43:02.995576
COALINDIA,SELL,1318.45,9.2,6.9,15,2025-04-01 15:44:02.512445
SBIN,BUY,1318.45,9.2,6.9,15,2025-04-01 15:45:10.398444
